Cód. Modular;Gestión;Nombre IE;Nivel;Distrito;Director(a);Últ. Acceso
0641670;Pública de gestión directa;CEBA - 40055 ROMEO LUNA VICTORIA;Básica Alternativa - Inicial e Intermedio;Cerro Colorado;HILARI CASAS HERNAN;2024-08-21 08:42:58
1729045;Pública de gestión directa;CEBA - 40056 HORACIO ZEVALLOS GAMEZ;Básica Alternativa - Inicial e Intermedio;Cerro Colorado;SOTOMAYOR LUCAÑA JOSE LUIS RINGO;2024-08-16 12:59:50
0749317;Pública de gestión directa;CEBA - 40081 CESAR AUGUSTO MAZEIRA ACOSTA;Básica Alternativa - Inicial e Intermedio;Cayma;MARTICORENA ARIAS JOHN GERÓNIMO;2024-08-20 21:56:09
0749309;Pública de gestión directa;CEBA - 40618;Básica Alternativa - Inicial e Intermedio;Cayma;Tejada Lazo Lourdes Gemma;2024-08-21 17:10:06
0310409;Pública de gestión directa;CEBA - HONORIO DELGADO ESPINOZA;Básica Alternativa - Avanzado;Cayma;Quispe Cutipe Juan Francisco;2024-08-19 11:07:50
0529149;Pública de gestión directa;CEBA - INDEPENDENCIA AMERICANA;Básica Alternativa - Avanzado;Arequipa;PORTILLA  VALDIVIA LUIS FERNANDO;2024-08-21 10:04:12
0308130;Pública de gestión directa;CEBA - MAYTA CAPAC;Básica Alternativa - Inicial e Intermedio;Cayma;Chipana  Quispe Wenceslao Jose Martin;2024-08-21 22:27:52
0644971;Pública de gestión directa;CEBA - MAYTA CAPAC;Básica Alternativa - Avanzado;Cayma;Chipana  Quispe Wenceslao Jose Martin;2024-08-21 22:27:52
1120047;Pública de gestión directa;CEBA - MICAELA BASTIDAS;Básica Alternativa - Inicial e Intermedio;Arequipa;FERIA ESPINOZA NORBERTO;2024-08-21 22:41:56
0310391;Pública de gestión directa;CEBA - MICAELA BASTIDAS;Básica Alternativa - Avanzado;Arequipa;FERIA ESPINOZA NORBERTO;2024-08-21 22:41:56
0517466;Pública de gestión directa;CEBA - PEDRO PAULET MOSTAJO;Básica Alternativa - Inicial e Intermedio;Tiabaya;Pari Pari Juan Pepe;2024-08-21 22:24:37
0636605;Pública de gestión directa;CEBA - PEDRO PAULET MOSTAJO;Básica Alternativa - Avanzado;Tiabaya;Pari Pari Juan Pepe;2024-08-21 22:24:37
1666254;Pública de gestión directa;CEBA - POLIVALENTE;Básica Alternativa - Avanzado;Arequipa;FERNANDEZ RODRIGUEZ FREDY HENRY;2024-08-21 22:45:34
1361153;Pública de gestión directa;CEBA - PRONOE ESTUDIOS INDEPENDIENTES;Básica Alternativa - Avanzado;Arequipa;HUAHUACHAMPI MESCCO MARIO;2024-08-21 22:40:34
1333251;Pública de gestión directa;CERCIA;Básica Especial - Primaria;Yanahuara;No figura;-
0617332;Pública de gestión directa;CERRO VERDE;Inicial - Jardín;Uchumayo;CARNERO  LAZO SANDRA MABEL;2024-08-19 09:46:15
0694869;Pública de gestión directa;CHIRIGUANA;Inicial - Jardín;Sachaca;RIVERA GOMEZ CARMEN JULIA;2024-08-21 20:17:04
0749341;Pública de gestión directa;CIUDAD DE DIOS KM 16;Inicial - Jardín;Yura;RANILLA PEREZ EVA LUZ;2024-08-21 21:32:46
